reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Uterine Cyst,Uterine Cyst,reproductive,Reproductive and breast,rule
Lung Adenocarcinoma Stage Iv,Lung Adenocarcinoma Stage Iv,neoplasm,Neoplasms,rule
Ovarian Cancer Recurrent,Ovarian Cancer Recurrent,neoplasm,Neoplasms,rule
Urinary Bladder Suspension,Urinary Bladder Suspension,renal_urinary,Renal and urinary,rule
Body Dysmorphic Disorder,Body Dysmorphic Disorder,other,Other / manual review,fallback
Pantoea Agglomerans Infection,Pantoea Agglomerans Infection,infection,Infections,rule
Thrombocytopenia Neonatal,Thrombocytopenia Neonatal,pregnancy,Pregnancy and perinatal,rule
Respiratory Disorder Neonatal,Respiratory Disorder Neonatal,pregnancy,Pregnancy and perinatal,rule
Hepatosplenomegaly Neonatal,Hepatosplenomegaly Neonatal,pregnancy,Pregnancy and perinatal,rule
Hepatic Necrosis,Hepatic Necrosis,gastrointestinal,Gastrointestinal,rule
Alopecia Scarring,Alopecia Scarring,dermatological,Skin and subcutaneous tissue,rule
Pelvic Pouch Procedure,Pelvic Pouch Procedure,procedure,Procedures and interventions,rule
Pleural Disorder,Pleural Disorder,respiratory,Respiratory,rule
Septum Pellucidum Agenesis,Septum Pellucidum Agenesis,other,Other / manual review,fallback
Perivascular Dermatitis,Perivascular Dermatitis,cardiovascular,Cardiovascular,rule
Craniocerebral Injury,Craniocerebral Injury,neurological,Nervous system and neurological,rule
Granuloma Skin,Granuloma Skin,dermatological,Skin and subcutaneous tissue,rule
Embolic Cerebral Infarction,Embolic Cerebral Infarction,cardiovascular,Cardiovascular,rule
Discoloured Vomit,Discoloured Vomit,other,Other / manual review,fallback
Tinea Pedis,Tinea Pedis,other,Other / manual review,fallback
Vascular Graft,Vascular Graft,cardiovascular,Cardiovascular,rule
Sinus Arrest,Sinus Arrest,respiratory,Respiratory,rule
Urine Albumin/Creatinine Ratio Increased,Urine Albumin/Creatinine Ratio Increased,laboratory,Laboratory and investigation,rule
Suture Removal,Suture Removal,procedure,Procedures and interventions,rule
Central Nervous System Necrosis,Central Nervous System Necrosis,other,Other / manual review,fallback
Congenital Hypothyroidism,Congenital Hypothyroidism,endocrine,Endocrine and metabolic,rule
Ectopic Thyroid,Ectopic Thyroid,endocrine,Endocrine and metabolic,rule
Gastroenteritis Bacterial,Gastroenteritis Bacterial,infection,Infections,rule
Cervical Incompetence,Cervical Incompetence,other,Other / manual review,fallback
Scintillating Scotoma,Scintillating Scotoma,other,Other / manual review,fallback
Intestinal Villi Atrophy,Intestinal Villi Atrophy,laboratory,Laboratory and investigation,rule
Craniofacial Deformity,Craniofacial Deformity,other,Other / manual review,fallback
Hairy Cell Leukaemia,Hairy Cell Leukaemia,neoplasm,Neoplasms,rule
Rectal Cancer Metastatic,Rectal Cancer Metastatic,neoplasm,Neoplasms,rule
Electrocardiogram Pr Prolongation,Electrocardiogram Pr Prolongation,laboratory,Laboratory and investigation,rule
Eyelid Rash,Eyelid Rash,ocular,Eye and vision,rule
Bone Neoplasm,Bone Neoplasm,neoplasm,Neoplasms,rule
Right Ventricular Systolic Pressure Increased,Right Ventricular Systolic Pressure Increased,laboratory,Laboratory and investigation,rule
Blood Chloride Abnormal,Blood Chloride Abnormal,laboratory,Laboratory and investigation,rule
Ehlers-Danlos Syndrome,Ehlers-Danlos Syndrome,other,Other / manual review,fallback
Acute Myeloid Leukaemia Recurrent,Acute Myeloid Leukaemia Recurrent,neoplasm,Neoplasms,rule
Chikungunya Virus Infection,Chikungunya Virus Infection,infection,Infections,rule
Crowned Dens Syndrome,Crowned Dens Syndrome,other,Other / manual review,fallback
Gastroduodenal Ulcer,Gastroduodenal Ulcer,gastrointestinal,Gastrointestinal,rule
Penile Erythema,Penile Erythema,dermatological,Skin and subcutaneous tissue,rule
Penile Swelling,Penile Swelling,reproductive,Reproductive and breast,rule
Corneal Opacity,Corneal Opacity,ocular,Eye and vision,rule
Intensive Care,Intensive Care,other,Other / manual review,fallback
Hypochromic Anaemia,Hypochromic Anaemia,haematology,Blood and lymphatic,rule
Mitochondrial Enzyme Deficiency,Mitochondrial Enzyme Deficiency,other,Other / manual review,fallback
Infusion Site Discomfort,Infusion Site Discomfort,device,Device and procedure-related,rule
Tongue Neoplasm Benign,Tongue Neoplasm Benign,neoplasm,Neoplasms,rule
Tongue Coated,Tongue Coated,other,Other / manual review,fallback
Corneal Thinning,Corneal Thinning,ocular,Eye and vision,rule
Corneal Perforation,Corneal Perforation,ocular,Eye and vision,rule
Accelerated Hypertension,Accelerated Hypertension,cardiovascular,Cardiovascular,rule
Liver Function Test Decreased,Liver Function Test Decreased,laboratory,Laboratory and investigation,rule
Palmar Erythema,Palmar Erythema,dermatological,Skin and subcutaneous tissue,rule
Intestinal Metastasis,Intestinal Metastasis,laboratory,Laboratory and investigation,rule
Oesophageal Adenocarcinoma,Oesophageal Adenocarcinoma,neoplasm,Neoplasms,rule
Herpes Zoster Cutaneous Disseminated,Herpes Zoster Cutaneous Disseminated,other,Other / manual review,fallback
Drug Clearance Decreased,Drug Clearance Decreased,laboratory,Laboratory and investigation,rule
Anaplastic Large-Cell Lymphoma,Anaplastic Large-Cell Lymphoma,neoplasm,Neoplasms,rule
Neutrophil Count,Neutrophil Count,laboratory,Laboratory and investigation,rule
Spinal Instability,Spinal Instability,musculoskeletal,Musculoskeletal,rule
Mineral Metabolism Disorder,Mineral Metabolism Disorder,other,Other / manual review,fallback
Splenic Rupture,Splenic Rupture,other,Other / manual review,fallback
Victim Of Chemical Submission,Victim Of Chemical Submission,other,Other / manual review,fallback
Endometrial Thickening,Endometrial Thickening,other,Other / manual review,fallback
Red Blood Cell Sedimentation Rate,Red Blood Cell Sedimentation Rate,laboratory,Laboratory and investigation,rule
Bladder Injury,Bladder Injury,renal_urinary,Renal and urinary,rule
Posterior Capsule Opacification,Posterior Capsule Opacification,other,Other / manual review,fallback
Transitional Cell Carcinoma,Transitional Cell Carcinoma,neoplasm,Neoplasms,rule
Blood Uric Acid Abnormal,Blood Uric Acid Abnormal,laboratory,Laboratory and investigation,rule
Uterine Prolapse,Uterine Prolapse,reproductive,Reproductive and breast,rule
Aspartate Aminotransferase,Aspartate Aminotransferase,other,Other / manual review,fallback
Enterococcus Test Positive,Enterococcus Test Positive,laboratory,Laboratory and investigation,rule
Intraventricular Haemorrhage Neonatal,Intraventricular Haemorrhage Neonatal,pregnancy,Pregnancy and perinatal,rule
Pelvi-Ureteric Obstruction,Pelvi-Ureteric Obstruction,renal_urinary,Renal and urinary,rule
Streptococcal Bacteraemia,Streptococcal Bacteraemia,infection,Infections,rule
Jejunal Perforation,Jejunal Perforation,other,Other / manual review,fallback
Packed Red Blood Cell Transfusion,Packed Red Blood Cell Transfusion,laboratory,Laboratory and investigation,rule
Blood Parathyroid Hormone Abnormal,Blood Parathyroid Hormone Abnormal,laboratory,Laboratory and investigation,rule
Schizoaffective Disorder Bipolar Type,Schizoaffective Disorder Bipolar Type,other,Other / manual review,fallback
Maxillofacial Operation,Maxillofacial Operation,procedure,Procedures and interventions,rule
Obsessive-Compulsive Personality Disorder,Obsessive-Compulsive Personality Disorder,psychiatric,Psychiatric and behavioural,rule
Aeromonas Infection,Aeromonas Infection,infection,Infections,rule
Obsessive-Compulsive Symptom,Obsessive-Compulsive Symptom,other,Other / manual review,fallback
Oedema Mouth,Oedema Mouth,dermatological,Skin and subcutaneous tissue,rule
Chest Expansion Decreased,Chest Expansion Decreased,laboratory,Laboratory and investigation,rule
Airway Peak Pressure Increased,Airway Peak Pressure Increased,laboratory,Laboratory and investigation,rule
Benign Lung Neoplasm,Benign Lung Neoplasm,neoplasm,Neoplasms,rule
Pulmonary Granuloma,Pulmonary Granuloma,respiratory,Respiratory,rule
Intracranial Haematoma,Intracranial Haematoma,other,Other / manual review,fallback
Adrenal Gland Cancer Metastatic,Adrenal Gland Cancer Metastatic,neoplasm,Neoplasms,rule
Necrosis Ischaemic,Necrosis Ischaemic,other,Other / manual review,fallback
Beta Haemolytic Streptococcal Infection,Beta Haemolytic Streptococcal Infection,infection,Infections,rule
Viral Test Positive,Viral Test Positive,infection,Infections,rule
Pulmonary Artery Aneurysm,Pulmonary Artery Aneurysm,respiratory,Respiratory,rule
Aneurysm Ruptured,Aneurysm Ruptured,other,Other / manual review,fallback
Peripheral Artery Occlusion,Peripheral Artery Occlusion,other,Other / manual review,fallback
Tri-Iodothyronine Increased,Tri-Iodothyronine Increased,laboratory,Laboratory and investigation,rule
Status Asthmaticus,Status Asthmaticus,other,Other / manual review,fallback
Atonic Seizures,Atonic Seizures,neurological,Nervous system and neurological,rule
Haemangioma Congenital,Haemangioma Congenital,other,Other / manual review,fallback
Temperature Difference Of Extremities,Temperature Difference Of Extremities,other,Other / manual review,fallback
Mixed Connective Tissue Disease,Mixed Connective Tissue Disease,other,Other / manual review,fallback
Cerebral Palsy,Cerebral Palsy,neurological,Nervous system and neurological,rule
Neutropenic Infection,Neutropenic Infection,infection,Infections,rule
Vitreous Detachment,Vitreous Detachment,other,Other / manual review,fallback
Chemical Burn,Chemical Burn,injury,Injury and poisoning,rule
Thoracic Haemorrhage,Thoracic Haemorrhage,haematology,Blood and lymphatic,rule
Eczema Eyelids,Eczema Eyelids,ocular,Eye and vision,rule
Fracture Displacement,Fracture Displacement,musculoskeletal,Musculoskeletal,rule
Oesophageal Atresia,Oesophageal Atresia,gastrointestinal,Gastrointestinal,rule
Incision Site Pain,Incision Site Pain,device,Device and procedure-related,rule
Allergy To Plants,Allergy To Plants,immune_inflammatory,Immune and inflammatory,rule
Pneumonia Respiratory Syncytial Viral,Pneumonia Respiratory Syncytial Viral,infection,Infections,rule
Body Fat Disorder,Body Fat Disorder,other,Other / manual review,fallback
Primary Myelofibrosis,Primary Myelofibrosis,other,Other / manual review,fallback
Wrist Surgery,Wrist Surgery,procedure,Procedures and interventions,rule
Breast Cyst,Breast Cyst,reproductive,Reproductive and breast,rule
Gastrointestinal Mucosal Disorder,Gastrointestinal Mucosal Disorder,laboratory,Laboratory and investigation,rule
Bronchial Wall Thickening,Bronchial Wall Thickening,respiratory,Respiratory,rule
Elbow Operation,Elbow Operation,procedure,Procedures and interventions,rule
Activated Partial Thromboplastin Time Prolonged,Activated Partial Thromboplastin Time Prolonged,other,Other / manual review,fallback
Finger Amputation,Finger Amputation,other,Other / manual review,fallback
Eyelid Function Disorder,Eyelid Function Disorder,ocular,Eye and vision,rule
Injection Site Alopecia,Injection Site Alopecia,device,Device and procedure-related,rule
Skin Operation,Skin Operation,dermatological,Skin and subcutaneous tissue,rule
Pulmonary Valve Stenosis,Pulmonary Valve Stenosis,cardiovascular,Cardiovascular,rule
Electrocardiogram T Wave Abnormal,Electrocardiogram T Wave Abnormal,laboratory,Laboratory and investigation,rule
Muscle Tone Disorder,Muscle Tone Disorder,musculoskeletal,Musculoskeletal,rule
Amputation Stump Pain,Amputation Stump Pain,general,General symptoms,rule
Testicular Mass,Testicular Mass,laboratory,Laboratory and investigation,rule
Accident At Home,Accident At Home,injury,Injury and poisoning,rule
Catheterisation Cardiac Abnormal,Catheterisation Cardiac Abnormal,device,Device and procedure-related,rule
Csf Shunt Operation,Csf Shunt Operation,procedure,Procedures and interventions,rule
Chronic Lymphocytic Leukaemia Refractory,Chronic Lymphocytic Leukaemia Refractory,neoplasm,Neoplasms,rule
Iris Disorder,Iris Disorder,other,Other / manual review,fallback
Arrhythmia Supraventricular,Arrhythmia Supraventricular,cardiovascular,Cardiovascular,rule
Radiation Injury,Radiation Injury,injury,Injury and poisoning,rule
Thrombophlebitis Migrans,Thrombophlebitis Migrans,other,Other / manual review,fallback
Graft Versus Host Disease In Eye,Graft Versus Host Disease In Eye,ocular,Eye and vision,rule
Intra-Abdominal Pressure Increased,Intra-Abdominal Pressure Increased,laboratory,Laboratory and investigation,rule
Blood Urea Abnormal,Blood Urea Abnormal,laboratory,Laboratory and investigation,rule
Spider Naevus,Spider Naevus,other,Other / manual review,fallback
Anamnestic Reaction,Anamnestic Reaction,other,Other / manual review,fallback
Small Intestine Ulcer,Small Intestine Ulcer,laboratory,Laboratory and investigation,rule
Haemorrhagic Ovarian Cyst,Haemorrhagic Ovarian Cyst,reproductive,Reproductive and breast,rule
Tonic Clonic Movements,Tonic Clonic Movements,other,Other / manual review,fallback
Gastroenteritis Staphylococcal,Gastroenteritis Staphylococcal,gastrointestinal,Gastrointestinal,rule
Gastrointestinal Mucosa Hyperaemia,Gastrointestinal Mucosa Hyperaemia,laboratory,Laboratory and investigation,rule
Nerve Conduction Studies Abnormal,Nerve Conduction Studies Abnormal,laboratory,Laboratory and investigation,rule
Contrast Media Toxicity,Contrast Media Toxicity,other,Other / manual review,fallback
Oropharyngeal Blistering,Oropharyngeal Blistering,respiratory,Respiratory,rule
Ostomy Bag Placement,Ostomy Bag Placement,other,Other / manual review,fallback
Palmar Fasciitis,Palmar Fasciitis,other,Other / manual review,fallback
Abortion Missed,Abortion Missed,pregnancy,Pregnancy and perinatal,rule
Haemorrhagic Ascites,Haemorrhagic Ascites,other,Other / manual review,fallback
Abscess Bacterial,Abscess Bacterial,infection,Infections,rule
Hypoglossal Nerve Paralysis,Hypoglossal Nerve Paralysis,neurological,Nervous system and neurological,rule
Orbital Oedema,Orbital Oedema,dermatological,Skin and subcutaneous tissue,rule
Infection Masked,Infection Masked,infection,Infections,rule
Acute Hepatitis C,Acute Hepatitis C,infection,Infections,rule
Hyperammonaemic Encephalopathy,Hyperammonaemic Encephalopathy,neurological,Nervous system and neurological,rule
Insulin Autoimmune Syndrome,Insulin Autoimmune Syndrome,immune_inflammatory,Immune and inflammatory,rule
Pulmonary Function Test,Pulmonary Function Test,laboratory,Laboratory and investigation,rule
Anal Stenosis,Anal Stenosis,other,Other / manual review,fallback
Vitamin B1 Decreased,Vitamin B1 Decreased,laboratory,Laboratory and investigation,rule
Sideroblastic Anaemia,Sideroblastic Anaemia,haematology,Blood and lymphatic,rule
Benign Breast Neoplasm,Benign Breast Neoplasm,neoplasm,Neoplasms,rule
Synovial Sarcoma,Synovial Sarcoma,neoplasm,Neoplasms,rule
Contrast Encephalopathy,Contrast Encephalopathy,neurological,Nervous system and neurological,rule
Reticulocyte Count Decreased,Reticulocyte Count Decreased,laboratory,Laboratory and investigation,rule
Blood Lactate Dehydrogenase Decreased,Blood Lactate Dehydrogenase Decreased,laboratory,Laboratory and investigation,rule
Magnetic Resonance Imaging Liver Abnormal,Magnetic Resonance Imaging Liver Abnormal,laboratory,Laboratory and investigation,rule
Portal Fibrosis,Portal Fibrosis,other,Other / manual review,fallback
Body Mass Index Increased,Body Mass Index Increased,laboratory,Laboratory and investigation,rule
Metastatic Lymphoma,Metastatic Lymphoma,neoplasm,Neoplasms,rule
Intestinal Prolapse,Intestinal Prolapse,laboratory,Laboratory and investigation,rule
Injection Site Movement Impairment,Injection Site Movement Impairment,device,Device and procedure-related,rule
Learning Disability,Learning Disability,other,Other / manual review,fallback
Cutaneous Sarcoidosis,Cutaneous Sarcoidosis,other,Other / manual review,fallback
Catheter Site Swelling,Catheter Site Swelling,device,Device and procedure-related,rule
Heart Valve Operation,Heart Valve Operation,cardiovascular,Cardiovascular,rule
Secondary Hypothyroidism,Secondary Hypothyroidism,endocrine,Endocrine and metabolic,rule
Gastrointestinal Angiodysplasia,Gastrointestinal Angiodysplasia,laboratory,Laboratory and investigation,rule
Viral Rash,Viral Rash,infection,Infections,rule
Apparent Life Threatening Event,Apparent Life Threatening Event,other,Other / manual review,fallback
Procoagulant Therapy,Procoagulant Therapy,procedure,Procedures and interventions,rule
Ophthalmic Herpes Simplex,Ophthalmic Herpes Simplex,ocular,Eye and vision,rule
Diabetic Hyperglycaemic Coma,Diabetic Hyperglycaemic Coma,other,Other / manual review,fallback
Oncologic Complication,Oncologic Complication,other,Other / manual review,fallback
Blood Folate Decreased,Blood Folate Decreased,laboratory,Laboratory and investigation,rule
Eosinophilic Myocarditis,Eosinophilic Myocarditis,cardiovascular,Cardiovascular,rule
Laryngitis Fungal,Laryngitis Fungal,infection,Infections,rule
Noninfective Sialoadenitis,Noninfective Sialoadenitis,infection,Infections,rule
Procedural Headache,Procedural Headache,neurological,Nervous system and neurological,rule
Osteonecrosis Of External Auditory Canal,Osteonecrosis Of External Auditory Canal,other,Other / manual review,fallback
Basophil Count Decreased,Basophil Count Decreased,laboratory,Laboratory and investigation,rule
Axillary Mass,Axillary Mass,other,Other / manual review,fallback
Suspected Product Contamination,Suspected Product Contamination,product_quality,Product quality and supply,rule
Lymphadenopathy Mediastinal,Lymphadenopathy Mediastinal,other,Other / manual review,fallback
Ear Neoplasm,Ear Neoplasm,neoplasm,Neoplasms,rule
Blood Immunoglobulin G,Blood Immunoglobulin G,laboratory,Laboratory and investigation,rule
Nasal Herpes,Nasal Herpes,respiratory,Respiratory,rule
Orthostatic Hypertension,Orthostatic Hypertension,cardiovascular,Cardiovascular,rule
Epiploic Appendagitis,Epiploic Appendagitis,other,Other / manual review,fallback
Open Fracture,Open Fracture,musculoskeletal,Musculoskeletal,rule
Graft Versus Host Disease In Lung,Graft Versus Host Disease In Lung,respiratory,Respiratory,rule
Withdrawal Bleed,Withdrawal Bleed,other,Other / manual review,fallback
Nocturnal Fear,Nocturnal Fear,other,Other / manual review,fallback
Cerebellar Haematoma,Cerebellar Haematoma,neurological,Nervous system and neurological,rule
Application Site Haematoma,Application Site Haematoma,device,Device and procedure-related,rule
Mucosal Disorder,Mucosal Disorder,other,Other / manual review,fallback
Cardiovascular Symptom,Cardiovascular Symptom,cardiovascular,Cardiovascular,rule
Pharyngitis Bacterial,Pharyngitis Bacterial,infection,Infections,rule
Systemic Lupus Erythematosus Rash,Systemic Lupus Erythematosus Rash,dermatological,Skin and subcutaneous tissue,rule
Complement Factor C3 Decreased,Complement Factor C3 Decreased,laboratory,Laboratory and investigation,rule
Skin Degenerative Disorder,Skin Degenerative Disorder,dermatological,Skin and subcutaneous tissue,rule
Campylobacter Gastroenteritis,Campylobacter Gastroenteritis,gastrointestinal,Gastrointestinal,rule
Spinal Cord Infection,Spinal Cord Infection,infection,Infections,rule
Infusion Site Urticaria,Infusion Site Urticaria,device,Device and procedure-related,rule
Achromobacter Infection,Achromobacter Infection,infection,Infections,rule
Faecal Vomiting,Faecal Vomiting,gastrointestinal,Gastrointestinal,rule
Intentional Misuse Of Drug Delivery System,Intentional Misuse Of Drug Delivery System,medication_error,Medication errors and use issues,rule
Foreign Body Reaction,Foreign Body Reaction,injury,Injury and poisoning,rule
Urine Ketone Body Present,Urine Ketone Body Present,laboratory,Laboratory and investigation,rule
Vernal Keratoconjunctivitis,Vernal Keratoconjunctivitis,ocular,Eye and vision,rule
Gastric Pneumatosis,Gastric Pneumatosis,gastrointestinal,Gastrointestinal,rule
Job Dissatisfaction,Job Dissatisfaction,other,Other / manual review,fallback
Pancreatic Pseudocyst,Pancreatic Pseudocyst,gastrointestinal,Gastrointestinal,rule
Renal Cyst Infection,Renal Cyst Infection,infection,Infections,rule
Phlebitis Infective,Phlebitis Infective,infection,Infections,rule
Chromosome Analysis Abnormal,Chromosome Analysis Abnormal,laboratory,Laboratory and investigation,rule
Mitochondrial Myopathy,Mitochondrial Myopathy,other,Other / manual review,fallback
Blood Viscosity Decreased,Blood Viscosity Decreased,laboratory,Laboratory and investigation,rule
Metapneumovirus Infection,Metapneumovirus Infection,infection,Infections,rule
Epstein-Barr Virus Associated Lymphoma,Epstein-Barr Virus Associated Lymphoma,infection,Infections,rule
Dental Implantation,Dental Implantation,other,Other / manual review,fallback
Decreased Vibratory Sense,Decreased Vibratory Sense,laboratory,Laboratory and investigation,rule
Optic Nerve Compression,Optic Nerve Compression,neurological,Nervous system and neurological,rule
Oral Bacterial Infection,Oral Bacterial Infection,infection,Infections,rule
Vascular Shunt,Vascular Shunt,cardiovascular,Cardiovascular,rule
Primary Hypogonadism,Primary Hypogonadism,other,Other / manual review,fallback
Intracranial Tumour Haemorrhage,Intracranial Tumour Haemorrhage,neoplasm,Neoplasms,rule
Pneumonia Legionella,Pneumonia Legionella,infection,Infections,rule
Lhermitte^S Sign,Lhermitte^S Sign,other,Other / manual review,fallback
Viral Load Decreased,Viral Load Decreased,infection,Infections,rule
Choroidal Detachment,Choroidal Detachment,other,Other / manual review,fallback
Pulmonary Vasculitis,Pulmonary Vasculitis,respiratory,Respiratory,rule
Parathyroid Disorder,Parathyroid Disorder,endocrine,Endocrine and metabolic,rule
Tracheo-Oesophageal Fistula,Tracheo-Oesophageal Fistula,gastrointestinal,Gastrointestinal,rule
Cell Marker Increased,Cell Marker Increased,laboratory,Laboratory and investigation,rule
Gastroenteritis Cryptosporidial,Gastroenteritis Cryptosporidial,gastrointestinal,Gastrointestinal,rule
Tongue Eruption,Tongue Eruption,other,Other / manual review,fallback
Arachnoid Cyst,Arachnoid Cyst,other,Other / manual review,fallback
Pancreatic Enzyme Abnormality,Pancreatic Enzyme Abnormality,laboratory,Laboratory and investigation,rule
Puncture Site Haemorrhage,Puncture Site Haemorrhage,device,Device and procedure-related,rule
Foetal Cardiac Disorder,Foetal Cardiac Disorder,pregnancy,Pregnancy and perinatal,rule
Left Ventricle Outflow Tract Obstruction,Left Ventricle Outflow Tract Obstruction,other,Other / manual review,fallback
Creatinine Urine Increased,Creatinine Urine Increased,laboratory,Laboratory and investigation,rule
Transplant Failure,Transplant Failure,procedure,Procedures and interventions,rule
Subretinal Fluid,Subretinal Fluid,ocular,Eye and vision,rule
Insulin Resistance,Insulin Resistance,endocrine,Endocrine and metabolic,rule
Phantom Limb Syndrome,Phantom Limb Syndrome,other,Other / manual review,fallback
Uterine Dilation And Curettage,Uterine Dilation And Curettage,reproductive,Reproductive and breast,rule
Gait Spastic,Gait Spastic,other,Other / manual review,fallback
Postmortem Blood Drug Level Abnormal,Postmortem Blood Drug Level Abnormal,medication_error,Medication errors and use issues,rule
Renal Tubular Injury,Renal Tubular Injury,renal_urinary,Renal and urinary,rule
Senile Dementia,Senile Dementia,neurological,Nervous system and neurological,rule
Prostatic Specific Antigen Abnormal,Prostatic Specific Antigen Abnormal,laboratory,Laboratory and investigation,rule
Keratitis Fungal,Keratitis Fungal,infection,Infections,rule
Fungal Peritonitis,Fungal Peritonitis,infection,Infections,rule
Vitreous Opacities,Vitreous Opacities,other,Other / manual review,fallback
Pharyngeal Paraesthesia,Pharyngeal Paraesthesia,respiratory,Respiratory,rule
Infective Glossitis,Infective Glossitis,infection,Infections,rule
Oesophageal Obstruction,Oesophageal Obstruction,gastrointestinal,Gastrointestinal,rule
Ureteral Disorder,Ureteral Disorder,renal_urinary,Renal and urinary,rule
Precocious Puberty,Precocious Puberty,other,Other / manual review,fallback
Hand-Foot-And-Mouth Disease,Hand-Foot-And-Mouth Disease,other,Other / manual review,fallback
Haemophilus Infection,Haemophilus Infection,infection,Infections,rule
Escherichia Pyelonephritis,Escherichia Pyelonephritis,renal_urinary,Renal and urinary,rule
Neonatal Behavioural Syndrome,Neonatal Behavioural Syndrome,pregnancy,Pregnancy and perinatal,rule
Cutaneous Symptom,Cutaneous Symptom,other,Other / manual review,fallback
Spinal Laminectomy,Spinal Laminectomy,musculoskeletal,Musculoskeletal,rule
Colon Cancer Stage Iii,Colon Cancer Stage Iii,neoplasm,Neoplasms,rule
Lymph Gland Infection,Lymph Gland Infection,infection,Infections,rule
Scrotal Infection,Scrotal Infection,infection,Infections,rule
Intravascular Haemolysis,Intravascular Haemolysis,cardiovascular,Cardiovascular,rule
Ultrasound Liver Abnormal,Ultrasound Liver Abnormal,laboratory,Laboratory and investigation,rule
Traumatic Haemothorax,Traumatic Haemothorax,injury,Injury and poisoning,rule
Anorexia Nervosa,Anorexia Nervosa,other,Other / manual review,fallback
Lacunar Stroke,Lacunar Stroke,neurological,Nervous system and neurological,rule
Primary Familial Brain Calcification,Primary Familial Brain Calcification,neurological,Nervous system and neurological,rule
Secondary Immunodeficiency,Secondary Immunodeficiency,immune_inflammatory,Immune and inflammatory,rule
Joint Warmth,Joint Warmth,musculoskeletal,Musculoskeletal,rule
Menstrual Discomfort,Menstrual Discomfort,reproductive,Reproductive and breast,rule
Tissue Injury,Tissue Injury,injury,Injury and poisoning,rule
Genitourinary Tract Infection,Genitourinary Tract Infection,infection,Infections,rule
Lymphoma Transformation,Lymphoma Transformation,neoplasm,Neoplasms,rule
Influenza A Virus Test Positive,Influenza A Virus Test Positive,infection,Infections,rule
Device Dependence,Device Dependence,device,Device and procedure-related,rule
Urinary Tract Discomfort,Urinary Tract Discomfort,renal_urinary,Renal and urinary,rule
Gingival Graft,Gingival Graft,other,Other / manual review,fallback
Pancreatic Neoplasm,Pancreatic Neoplasm,neoplasm,Neoplasms,rule
Hepatic Haemorrhage,Hepatic Haemorrhage,gastrointestinal,Gastrointestinal,rule
Oesophageal Neoplasm,Oesophageal Neoplasm,neoplasm,Neoplasms,rule
Left Ventricular End-Diastolic Pressure Increased,Left Ventricular End-Diastolic Pressure Increased,laboratory,Laboratory and investigation,rule
Blood Bicarbonate Increased,Blood Bicarbonate Increased,laboratory,Laboratory and investigation,rule
Adenoidal Hypertrophy,Adenoidal Hypertrophy,other,Other / manual review,fallback
Medical Device Removal,Medical Device Removal,device,Device and procedure-related,rule
Hiv Viraemia,Hiv Viraemia,infection,Infections,rule
Complement Factor Increased,Complement Factor Increased,laboratory,Laboratory and investigation,rule
Enterococcal Sepsis,Enterococcal Sepsis,infection,Infections,rule
Hiv Infection,Hiv Infection,infection,Infections,rule
Exposure To Fungus,Exposure To Fungus,injury,Injury and poisoning,rule
Acquired Mitochondrial Dna Mutation,Acquired Mitochondrial Dna Mutation,other,Other / manual review,fallback
Tonsillar Disorder,Tonsillar Disorder,other,Other / manual review,fallback
Shunt Infection,Shunt Infection,infection,Infections,rule
Carotid Artery Disease,Carotid Artery Disease,other,Other / manual review,fallback
Chronic Granulomatous Disease,Chronic Granulomatous Disease,other,Other / manual review,fallback
Klebsiella Sepsis,Klebsiella Sepsis,infection,Infections,rule
Ankle Deformity,Ankle Deformity,other,Other / manual review,fallback
Parathyroid Tumour Benign,Parathyroid Tumour Benign,neoplasm,Neoplasms,rule
Resorption Bone Increased,Resorption Bone Increased,laboratory,Laboratory and investigation,rule
Medical Device Implantation,Medical Device Implantation,device,Device and procedure-related,rule
Clostridium Colitis,Clostridium Colitis,infection,Infections,rule
Vascular Headache,Vascular Headache,cardiovascular,Cardiovascular,rule
Immunoglobulins Decreased,Immunoglobulins Decreased,laboratory,Laboratory and investigation,rule
Middle Ear Inflammation,Middle Ear Inflammation,other,Other / manual review,fallback
Enlarged Uvula,Enlarged Uvula,other,Other / manual review,fallback
Gastroenteritis Escherichia Coli,Gastroenteritis Escherichia Coli,gastrointestinal,Gastrointestinal,rule
Eczema Infected,Eczema Infected,dermatological,Skin and subcutaneous tissue,rule
Cataract Operation Complication,Cataract Operation Complication,procedure,Procedures and interventions,rule
Lennox-Gastaut Syndrome,Lennox-Gastaut Syndrome,other,Other / manual review,fallback
Aspartate Aminotransferase Decreased,Aspartate Aminotransferase Decreased,laboratory,Laboratory and investigation,rule
Exposure Via Body Fluid,Exposure Via Body Fluid,injury,Injury and poisoning,rule
Rouleaux Formation,Rouleaux Formation,other,Other / manual review,fallback
Acute Myopia,Acute Myopia,other,Other / manual review,fallback
Vascular Device User,Vascular Device User,device,Device and procedure-related,rule
Injection Site Hypertrophy,Injection Site Hypertrophy,device,Device and procedure-related,rule
Oropharyngeal Plaque,Oropharyngeal Plaque,respiratory,Respiratory,rule
Vascular Procedure Complication,Vascular Procedure Complication,cardiovascular,Cardiovascular,rule
Sensorimotor Disorder,Sensorimotor Disorder,other,Other / manual review,fallback
